"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"m_ascC",0.870645292679019,0.0700893603625192,12.4219323471613,0,0.0755948885120108,11.5172508329143,0
"s_ascC",1.36113823317568,0.0679297166463614,20.0374490042656,0,0.0717420507574051,18.9726697077332,0
"m_ascA",0.261461734054554,0.0468542658202775,5.5803186642058,2.40078330548954e-08,0.0481434128555355,5.43089321147892,5.6072682497188e-08
"s_ascA",0.510301566751832,0.0719597406891685,7.09148701572021,1.32671651442706e-12,0.0699322718270523,7.29708264038448,2.93987056920741e-13
"ascB",0,NA,NA,NA,NA,NA,NA
"m_b_TC",-1.64084875115784,0.115982180919193,-14.1474210792868,0,0.1459814041687,-11.2401217161991,0
"s_b_TC",1.80630822456926,0.127107562706126,14.210863508928,0,0.184708418273714,9.77924147394597,0
"g_TC",1,NA,NA,NA,NA,NA,NA
"m_g_TT",-2.03915921400715,0.0724899205191563,-28.1302448589149,0,0.10427349516206,-19.5558728595212,0
"s_g_TT",1.31625793462248,0.0445090820161001,29.5727944725159,0,0.0434725672555106,30.2778974815579,0
"m_g_WT",-3.46030754425466,0.16400250573794,-21.0991138744179,0,0.216717646499315,-15.9668933294068,0
"s_g_WT",0.542721495331189,0.0615680497259062,8.81498598294606,0,0.0762282848899075,7.11968655880181,1.08180131519475e-12
"m_g_IN",-1.57325369102227,0.112156951937536,-14.0272507753106,0,0.163681943258756,-9.61165086203306,0
"s_g_IN",1.83514005551479,0.0503965184181815,36.4140244825469,0,0.03314551005912,55.3661733441887,0
"s_TTWT",1.39432623471299,0.0740844480867353,18.8207683356237,0,0.0657537809327502,21.205263255341,0
