"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"m_ascC",0.897912767619125,0.0709488066076831,12.6557839455173,0,0.0769282195075462,11.672085658125,0
"s_ascC",1.36910967180817,0.0682173432330875,20.0698181271901,0,0.0709442682955607,19.2983831492112,0
"m_ascA",0.264593410940122,0.0471860900104642,5.60744513651046,2.05335071168378e-08,0.0484793179086754,5.45786166873385,4.81902855398175e-08
"s_ascA",0.514616953073643,0.0713690057173817,7.21065044834035,5.56887869151979e-13,0.0679650967035401,7.57178284198392,3.68594044175552e-14
"ascB",0,NA,NA,NA,NA,NA,NA
"m_b_TC",-1.64400310648893,0.122365763034091,-13.4351559269966,0,0.150670317962375,-10.9112606167027,0
"s_b_TC",1.94831254579424,0.124579322394924,15.6391326292334,0,0.156751447030488,12.4293113888467,0
"g_TC",1,NA,NA,NA,NA,NA,NA
"m_g_TT",-1.94337736937635,0.0626351253351106,-31.0269574616301,0,0.040951941925111,-47.4550724097579,0
"s_g_TT",1.34420651177526,0.0450854903169368,29.8146144652284,0,0.0297640099817007,45.1621442339823,0
"m_g_WT",-3.37678011781193,0.13149836003683,-25.6792565083409,0,0.0937994509790159,-35.9999987480455,0
"s_g_WT",0.715210270010102,0.0561319513781289,12.741589281159,0,0.0364967962367769,19.5965219897686,0
"m_g_IN",-1.42977942240177,0.0620150813966444,-23.0553502503205,0,0.0417042791306314,-34.2837582187486,0
"s_g_IN",1.7721575153798,0.0443586595441782,39.950655263035,0,0.0296746572795192,59.7195613309712,0
"bt_age_1829",-0.0664192239709264,0.0739098443008043,-0.898651926536444,0.3688380907825,0.0479089555502212,-1.38636343055531,0.165635957111079
"bw_age_1829",-0.0525214696163625,0.120981217988794,-0.434129119292114,0.664194680956802,0.0609532964850026,-0.861667418254978,0.388870559836098
"bt_age_4559",-0.128581200577011,0.129022219765724,-0.996581835365146,0.318967526553369,0.115831650504331,-1.1100696572756,0.266969011188807
"bw_age_4559",0.052161761095574,0.128637291731185,0.40549486384226,0.685113793049091,0.069630006893199,0.749127616425222,0.453780291309861
"bt_age_60up",-0.360651385913847,0.170168949256284,-2.11937246771551,0.0340590016966023,0.124076347383609,-2.9066892564045,0.00365275860774528
"bw_age_60up",-0.572918944619606,0.26950500727384,-2.12581929521432,0.0335183087734996,0.185091520008848,-3.09532789288357,0.00196595430352819
"s_TTWT",1.34823624592344,0.0659073502122544,20.4565384829075,0,0.0320548247138442,42.0603219003456,0
