"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"m_ascC",0.886899521712512,0.0706727398993308,12.5493864108827,0,0.0764487940619521,11.6012231794499,0
"s_ascC",1.36584939251115,0.0683055239787674,19.9961776581308,0,0.0720053447691129,18.9687223481921,0
"m_ascA",0.264346724641913,0.046937062387171,5.63194011720184,1.78193559907669e-08,0.0483774410298032,5.46425604609928,4.64852167869623e-08
"s_ascA",0.506009828634429,0.072137075230841,7.01455980874163,2.30682140056615e-12,0.0698705041251003,7.24210931308638,4.41868763800812e-13
"ascB",0,NA,NA,NA,NA,NA,NA
"m_b_TC",-1.64246850624206,0.121738970990186,-13.491723257415,0,0.160262594335555,-10.2486079989638,0
"s_b_TC",1.88558901261471,0.145403769893729,12.9679513398643,0,0.215240160468498,8.76039586901662,0
"g_TC",1,NA,NA,NA,NA,NA,NA
"m_g_TT",-1.99314873822455,0.0800653565188199,-24.8940218951757,0,0.0638689456083341,-31.2068520818742,0
"s_g_TT",1.27656576553692,0.0515355454011494,24.7705880591778,0,0.0404275930265816,31.5765958338793,0
"m_g_WT",-3.32353520224843,0.169312300664981,-19.6296145595749,0,0.167639886981268,-19.8254440640359,0
"s_g_WT",0.68953103781009,0.0585574403679783,11.7752933440573,0,0.0426409801034266,16.1706188773714,0
"m_g_IN",-1.52489653013272,0.0775757812516633,-19.656863334522,0,0.0630319283285569,-24.1924461232428,0
"s_g_IN",1.78823974162191,0.0457940279795485,39.0496276593213,0,0.0303571517042997,58.9067037329667,0
"bt_educ_hsl",-0.141733424291635,0.0957160433075541,-1.48076977896191,0.138667932284191,0.0669961787017785,-2.11554490178516,0.0343835321847183
"bw_educ_hsl",-0.353553473335742,0.169492647917251,-2.08595167802412,0.0369830004293308,0.15166478565161,-2.33115071383737,0.0197454139461934
"bt_educ_mas",0.0429268390263336,0.0885769689681236,0.484627545132887,0.627940570857677,0.0668325551124754,0.642304322408296,0.520675608319923
"bw_educ_mas",0.0744142276958883,0.159389214184438,0.46687116237225,0.640592058436001,0.159065597949255,0.46782100375738,0.639912599061182
"s_TTWT",1.22918492980161,0.0759650143637204,16.1809346065054,0,0.0454981845417483,27.0161313507736,0
