"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"m_ascC",0.889365238876388,0.0706932706200632,12.5806209144889,0,0.0766684694040858,11.600143393876,0
"s_ascC",1.36412133724867,0.0681513937115958,20.0160446170974,0,0.071808363963216,18.9966914988823,0
"m_ascA",0.263802935956525,0.0469679889052529,5.61665385521801,1.9469089451718e-08,0.0484048291315973,5.44993011419025,5.03896169234963e-08
"s_ascA",0.507386970992486,0.072212409706004,7.0263126941504,2.12052597703405e-12,0.0699957923633465,7.24882101996434,4.20330437123084e-13
"ascB",0,NA,NA,NA,NA,NA,NA
"m_b_TC",-1.64888707674959,0.116913240625588,-14.1035101578453,0,0.144117654094882,-11.4412567086613,0
"s_b_TC",1.86309616601897,0.130638276975764,14.2614875911491,0,0.182993429144459,10.1812189362723,0
"g_TC",1,NA,NA,NA,NA,NA,NA
"m_g_TT",-1.95085578198416,0.0800109765704064,-24.3823518422812,0,0.0546595337553532,-35.6910432261618,0
"s_g_TT",1.3267775555941,0.0515473060007898,25.7390280604338,0,0.0390906320694003,33.9410617162336,0
"m_g_WT",-3.49115499290922,0.179729190903305,-19.4245296235016,0,0.191059044027887,-18.2726497490465,0
"s_g_WT",0.741448926112253,0.0723519708153472,10.2478055228729,0,0.0642313220668526,11.5434168603994,0
"m_g_IN",-1.55022172324588,0.0737138656602763,-21.0302594954164,0,0.0528135162676124,-29.3527459029752,0
"s_g_IN",1.79607843881314,0.04993528919332,35.9681192965516,0,0.0337390166871053,53.2344630986113,0
"bt_inc_0050",-0.113041940723819,0.0912562323081145,-1.23873118432227,0.215445066044063,0.0627737191476599,-1.80078450438655,0.0717368521677464
"bw_inc_0050",0.0461529617729568,0.186826995534459,0.247035829275777,0.804880495455256,0.166883778292025,0.276557507537941,0.782119896502143
"bt_inc_100p",-0.113339342929152,0.0964350013712525,-1.17529259415698,0.239877676383069,0.0552077832396619,-2.05295949734362,0.0400765058328045
"bw_inc_100p",0.00825805951814694,0.200120517453662,0.0412654315670511,0.967084291197575,0.194492035981744,0.0424596281100275,0.966132294808686
"s_TTWT",1.29641806819312,0.094602296249731,13.7038752713871,0,0.0762834541913763,16.9947478379877,0
