"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"m_ascC",0.887739098083902,0.0707713237810484,12.5437684454,0,0.0762483164043471,11.642737045841,0
"s_ascC",1.37182672011705,0.0682651250177557,20.0955717836925,0,0.0716155150156399,19.1554402676217,0
"m_ascA",0.266966881701728,0.0469824170530446,5.68227218706765,1.32916899708846e-08,0.0483138384989766,5.52568146096243,3.28209146527314e-08
"s_ascA",0.508260034648421,0.0721189426156189,7.04752477247699,1.82120984959511e-12,0.0695694276901581,7.30579582905386,2.75557354711964e-13
"ascB",0,NA,NA,NA,NA,NA,NA
"m_b_TC",-1.64546612436209,0.117991152308136,-13.9456738253129,0,0.142437213560903,-11.5522206818411,0
"s_b_TC",1.90772040643539,0.119836203869451,15.9193995206461,0,0.146651076985742,13.0085673126073,0
"g_TC",1,NA,NA,NA,NA,NA,NA
"m_g_TT",-1.9506932748241,0.072091594855694,-27.0585396082416,0,0.055783579180533,-34.9689514993481,0
"s_g_TT",1.30465886936671,0.0324692700474723,40.1813427730037,0,0.0165756897444383,78.7091752730509,0
"m_g_WT",-3.10913280810858,0.160912485864854,-19.3218866230173,0,0.139213652797957,-22.3335337132553,0
"s_g_WT",0.653871201049865,0.058711392201425,11.1370413225186,0,0.0404701268879812,16.1568853702816,0
"m_g_IN",-1.46330226479611,0.0728709173183019,-20.0807443990909,0,0.0603077941546805,-24.2638996386264,0
"s_g_IN",1.79983462012211,0.0388086988370648,46.3770926121117,0,0.0200407888772542,89.8085714662099,0
"bt_pt_subur",0.0440923721331347,0.0828118944348414,0.532440085256445,0.594421228358636,0.0503437229711401,0.875826608183328,0.381124302594836
"bw_pt_subur",-0.269319943375885,0.186902444366119,-1.44096533509385,0.149594476309972,0.160523621929496,-1.67775894998292,0.0933941660717013
"bt_pt_subsu",-0.128034996427504,0.0914764257915705,-1.39965018658722,0.161618097471964,0.0530859751733596,-2.41184222404105,0.0158721483602793
"bw_pt_subsu",-0.464871001775912,0.135168595120483,-3.43919385535928,0.000583449275409098,0.0886777835858074,-5.24224876827338,1.58631299651546e-07
"bt_pt_rural",-0.609457550913027,0.123705339571221,-4.92668750617788,8.36353513777865e-07,0.0704208731483629,-8.65450148039232,0
"bw_pt_rural",-0.965841755949903,0.189962505586366,-5.08438100965554,3.68826901908648e-07,0.0928429784149942,-10.4029596253659,0
"s_TTWT",1.22607160545311,0.0643012823198321,19.0676073823018,0,0.0419609637489629,29.2193385449449,0
