"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"m_ascC",0.883580417606747,0.0705763287243687,12.5195009938462,0,0.0766711599637022,11.5242865508368,0
"s_ascC",1.36460486650948,0.0683018294292172,19.9790383056086,0,0.072458452447325,18.8329286704198,0
"m_ascA",0.26320508502037,0.04682886638233,5.62057349139003,1.90324607185488e-08,0.0482349682818703,5.45672764792298,4.84989370885813e-08
"s_ascA",0.504734361120925,0.0723744378364878,6.97393135213357,3.08197911635943e-12,0.0705968746354617,7.14952841364722,8.70858940515973e-13
"ascB",0,NA,NA,NA,NA,NA,NA
"m_b_TC",-1.62685216239501,0.115402339024893,-14.0972200056022,0,0.144481909099418,-11.2599021741578,0
"s_b_TC",1.84111494311276,0.135233218050104,13.6143690851949,0,0.200519977010361,9.18170334229409,0
"g_TC",1,NA,NA,NA,NA,NA,NA
"m_g_TT",-2.04658332013002,0.16467032895588,-12.4283672298873,0,0.138205849402228,-14.8082250424418,0
"s_g_TT",1.32743886973924,0.0499561729430957,26.5720689063053,0,0.0394244837627602,33.6704185583559,0
"m_g_WT",-3.93849893037526,0.448028626508765,-8.79073054118385,0,0.393851414127118,-9.99996137910041,0
"s_g_WT",0.6791200805419,0.0906488255305941,7.49176921561654,6.79456491070596e-14,0.083678556805343,8.11581970900503,4.44089209850063e-16
"m_g_IN",-1.60879546274233,0.0683949487875341,-23.5221385681562,0,0.0488539666475428,-32.9307029324556,0
"s_g_IN",1.82461089383629,0.0528237384473066,34.5414949314198,0,0.0383668419718244,47.5569736799351,0
"bw_day_work",0.0837664829686699,0.101026095288449,0.829156889905526,0.407015635569183,0.098907148301364,0.846920413815173,0.39703948323236
"bt_day_comm",-0.0129028592629724,0.0338721327489719,-0.380928456988409,0.703256335989968,0.0295337607022295,-0.436885075120095,0.662194696316883
"bt_comm_not",0.0665027312892968,0.0740506492888759,0.898070873489114,0.369147766010998,0.0476754185660295,1.39490608136333,0.163044163024558
"bw_comm_not",0.162121787811822,0.148144365107341,1.0943500125324,0.273801498537567,0.140098808244189,1.15719605215519,0.247192270312528
"s_TTWT",1.30627171558515,0.0765138062613316,17.0723661442695,0,0.0557623133455849,23.4257088203924,0
