"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"m_ascC",0.894656893949127,0.0714110866856205,12.5282632637668,0,0.0763188845138197,11.7226149156717,0
"s_ascC",1.40045750645897,0.0702442859153651,19.9369598282532,0,0.0738599075059184,18.9609972954102,0
"m_ascA",0.275571447664655,0.0467953387709384,5.88886532082967,3.88856169486473e-09,0.0483650566145265,5.69773855246325,1.21407039976873e-08
"s_ascA",0.494778253824799,0.0721648354567227,6.85622368142886,7.07056635462777e-12,0.0693397146154321,7.13556807334598,9.63895629979561e-13
"ascB",0,NA,NA,NA,NA,NA,NA
"m_b_TC",-1.57998959557416,0.107105449468208,-14.751719949069,0,0.119109102069899,-13.2650617636841,0
"s_b_TC",1.91295295391517,0.106315047736569,17.9932473778797,0,0.117352289573538,16.3009427499617,0
"g_TC",1,NA,NA,NA,NA,NA,NA
"m_g_TT",-1.57931890392813,0.121336958532932,-13.0159757012492,0,0.0960519933459826,-16.4423334582903,0
"s_g_TT",1.25074035455908,0.0495093563906217,25.2627068041628,0,0.0376938433258183,33.181555506238,0
"m_g_WT",-2.87491989253084,0.184412514022645,-15.5896139031965,0,0.157761069679234,-18.2232530393984,0
"s_g_WT",0.575219183695001,0.0503424360857106,11.4261292940942,0,0.039763174479058,14.4661283016513,0
"m_g_IN",-1.50272954737449,0.0639584517712666,-23.4954021831027,0,0.049319259379019,-30.4694264734593,0
"s_g_IN",1.85756797300985,0.0486725276098381,38.1646087480852,0,0.0352310854373556,52.7252552667668,0
"bt_age_60up",-0.276959561875612,0.158101400134397,-1.75178437155001,0.0798108925388719,0.131073289335903,-2.11301298135462,0.0345996568099838
"bw_age_60up",-0.440955856388937,0.23247212277075,-1.8968117601945,0.0578527866429774,0.164411838219881,-2.68202010976371,0.00731790606334726
"bt_race_oth",-0.436629666537114,0.102063776383779,-4.27800814360724,1.88573123958147e-05,0.0913591250323123,-4.77926716551505,1.75935282720197e-06
"bw_race_oth",-0.24744055590457,0.135189405847564,-1.8303250491653,0.0672013478711004,0.0924642300513131,-2.67606787800268,0.00744915567200377
"bt_educ_hsl",-0.0232816323845386,0.0864546938225874,-0.269292867224937,0.787704320645454,0.0602511796679885,-0.386409569286959,0.699193364180714
"bw_educ_hsl",-0.115062071580642,0.149541326462522,-0.769433268398076,0.441636145270717,0.105781138224314,-1.0877371288693,0.27671117174212
"bt_hh_child",0.149091512529783,0.0229024391954579,6.50985300113149,7.52242712565021e-11,0.0135934867134004,10.9678639243315,0
"bt_inc_0050",-0.121280109803027,0.0685157211072449,-1.77010630324085,0.0767094337204368,0.048896306204164,-2.48035320493593,0.013125229561161
"bt_inc_100p",-0.185963822694228,0.0863152180688176,-2.15447318392873,0.0312030827403844,0.0694825341538686,-2.67641105723652,0.00744153143164938
"bw_pt_subur",-0.249753514839209,0.141373288096236,-1.76662450313241,0.0772911345830214,0.107297124544476,-2.3276813418768,0.01992903060662
"bt_pt_subsu",0.169243064376158,0.121088034848209,1.39768610984821,0.162207347192537,0.114977068229517,1.47197234180919,0.141028346559392
"bt_pt_rural",-0.231093641596624,0.109258497158087,-2.11510910004786,0.03442064980969,0.0757264112703946,-3.05169144714204,0.00227555883274544
"bw_pt_rural",-0.507486954835543,0.14718993519985,-3.44783734123187,0.000565094241829378,0.0972922152468037,-5.21611059577776,1.82719105401574e-07
"bt_cmode_pt",-0.0329871732772409,0.146405743477988,-0.225313382478062,0.821735489602492,0.111030628080074,-0.297099762900115,0.76639034538043
"bt_cmode_at",-2.52827362951392,0.613438820848988,-4.12147641066281,3.76452023478357e-05,0.301652444814338,-8.38141269191446,0
"bw_cmode_at",-2.77338836029481,1.49571947379394,-1.85421692295015,0.0637081319391641,0.742997801866501,-3.73270062620336,0.000189437700643946
"bt_sat_work",0.146741743194071,0.0535258265317849,2.74151288643684,0.00611569617864771,0.044519748582683,3.29610448993304,0.000980355452549375
"bw_sat_work",0.0768339897199964,0.0794932179730053,0.966547734249331,0.333770173316592,0.0587017809859639,1.30888685878829,0.190572678665791
"bt_sat_comm",-0.200301741696571,0.0388111616397874,-5.16093137215535,2.45724254499535e-07,0.0314959310349117,-6.35960694333964,2.02270644678038e-10
"bw_sat_comm",-0.198544374185605,0.0490636308371235,-4.04667104325632,5.19511677390394e-05,0.0329567038488279,-6.02440022813952,1.69737868205289e-09
"bt_TTPD",-0.00495295953786828,0.00145219238748734,-3.41067724947805,0.00064801749083121,0.00130439181199034,-3.79714092984889,0.000146374580505704
"s_TTWT",1.21616343268989,0.0735104762647578,16.5440831631905,0,0.0509057329322067,23.8905003943173,0
