"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"m_ascC",0.898006162892461,0.0716849963647204,12.5271145767179,0,0.0774723284335341,11.5913150030451,0
"s_ascC",1.40002680040111,0.0704626827413734,19.8690533191842,0,0.0739074721175828,18.9429669326769,0
"m_ascA",0.273817962210574,0.0469363763605529,5.83381128758592,5.41753908400722e-09,0.048441059389102,5.65260061740467,1.58038229169932e-08
"s_ascA",0.501070096187716,0.0718999003359624,6.96899569883124,3.19211324040225e-12,0.0688114822609704,7.28178030357473,3.29514193708746e-13
"ascB",0,NA,NA,NA,NA,NA,NA
"m_b_TC",-1.62849090010743,0.117011425623189,-13.917366542919,0,0.146048378819853,-11.1503524603729,0
"s_b_TC",1.91804199733922,0.104626629995846,18.3322543927429,0,0.115791723528227,16.5645863011241,0
"g_TC",1,NA,NA,NA,NA,NA,NA
"m_g_TT",-1.64458980488411,0.156759840830328,-10.4911423498073,0,0.173784762519463,-9.46337170786143,0
"s_g_TT",1.29676931437022,0.0555485136111666,23.3448067296177,0,0.064580469028153,20.0798992928483,0
"m_g_WT",-2.72841423498907,0.224777722211228,-12.1382769081765,0,0.301229772356998,-9.05758489156088,0
"s_g_WT",0.575946741770325,0.0526377701599067,10.9417009881056,0,0.0534112451353145,10.7832487393094,0
"m_g_IN",-1.44194113333044,0.0825340865090647,-17.4708559132362,0,0.11844521513528,-12.1739078415583,0
"s_g_IN",1.83569337637588,0.0456016429665202,40.2549833067113,0,0.0335729277762241,54.6777864775883,0
"bt_age_60up",-0.421115942440209,0.324624686005572,-1.29723942939134,0.194548817940286,0.454887036821866,-0.92575938277423,0.35457103972698
"bw_age_60up",-0.585047349980169,0.324217197465225,-1.80449203359399,0.0711542069103708,0.340661933271917,-1.71738398934401,0.0859090350721181
"bt_race_oth",-0.415333855881783,0.110160401828495,-3.77026453233532,0.000163074601509106,0.121333340034094,-3.42308104075166,0.000619156150758471
"bw_race_oth",-0.185441857045839,0.151582113517996,-1.22337558661776,0.221187869923184,0.166745434097433,-1.11212554664304,0.266084174085829
"bt_educ_hsl",-0.271079134046528,0.109532037346674,-2.47488443210956,0.0133279295644901,0.149783149609391,-1.80981061456816,0.0703251612964748
"bw_educ_hsl",-0.381663723217337,0.160202908801204,-2.38237698724274,0.0172012779029795,0.193986491872464,-1.9674757738712,0.0491283861817913
"bt_hh_child",0.174828463716653,0.0262902408224961,6.64993770490896,2.93216562141652e-11,0.0227336064467239,7.69030924003911,1.46549439250521e-14
"bt_inc_0050",-0.15096230742889,0.0851695105874598,-1.77249236713492,0.07631286122292,0.0946986223371907,-1.59413414581009,0.110905992464654
"bt_inc_100p",-0.2453115247091,0.11030623444315,-2.22391350722365,0.0261542641124801,0.145328330416875,-1.68798144178375,0.0914147914496084
"bw_pt_subur",-0.352822211728461,0.168664329921121,-2.09186027593068,0.0364510164945198,0.160352433702228,-2.20029221622945,0.0277861691865502
"bt_pt_subsu",0.287857747381126,0.111905778406409,2.57232246163117,0.0101018752859445,0.104537437691457,2.75363308818358,0.00589378016846376
"bt_pt_rural",0.0181342039842969,0.125534894636356,0.144455484164998,0.885140806173113,0.133868447490338,0.135462869139539,0.892245919744299
"bw_pt_rural",-0.330066459777918,0.157587232598407,-2.09450000698378,0.0362154624456641,0.116533011899801,-2.83238589990036,0.00462020520459938
"bt_cmode_at",-2.75737944862128,0.676933639054546,-4.0733379012933,4.63441105689189e-05,0.279459881621246,-9.86681677750932,0
"bw_cmode_at",-3.57372598432015,2.07115928856786,-1.72547133580984,0.0844425651862173,0.793908024641837,-4.50143577517357,6.74959610269532e-06
"bt_sat_work",0.0721918850949679,0.0516163228803108,1.39862510668124,0.16192543342467,0.0469609788796055,1.53727385623812,0.124226260822847
"bw_sat_work",-0.0038317716360087,0.0725714704205666,-0.0527999724106842,0.957891283484714,0.0538074875731099,-0.0712126101558329,0.943228545444956
"bt_sat_comm",-0.137335989102143,0.0384353161989895,-3.57317182955175,0.000352683164843937,0.0379518842185578,-3.61868697509854,0.00029610153096149
"bw_sat_comm",-0.18255248746023,0.0486401668734019,-3.75312214564083,0.000174645702509801,0.031088393360515,-5.87204637252461,4.30448299226782e-09
"bt_TTPD",-0.00341202957639724,0.00158259646730784,-2.15596941284815,0.0310860536274116,0.00207221475465244,-1.64656176138922,0.0996481556009923
"s_TTWT",1.24854342857116,0.0794031386490422,15.724106752123,0,0.0711445351167718,17.5493933092948,0
