"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"m_ascC",0.897073928227331,0.071420646393486,12.5604285809033,0,0.076214425502188,11.7703954640657,0
"s_ascC",1.40153637767149,0.0704571162027418,19.8920485709143,0,0.0741225399816562,18.9083695461373,0
"m_ascA",0.274427754802562,0.0468091065603694,5.86270012328978,4.55400228638325e-09,0.0483571492725922,5.67501928733632,1.38673030836145e-08
"s_ascA",0.494915680606339,0.0720966161827288,6.86461732617208,6.66688926287407e-12,0.0691453981575402,7.15760837010046,8.20898904407841e-13
"ascB",0,NA,NA,NA,NA,NA,NA
"m_b_TC",-1.57575071550804,0.109098012669723,-14.4434410577064,0,0.122408870233839,-12.8728474701046,0
"s_b_TC",1.95278350610458,0.116771334674492,16.7231410992098,0,0.135643047232688,14.3964880319644,0
"g_TC",1,NA,NA,NA,NA,NA,NA
"m_g_TT",-1.57966722747907,0.119764720902754,-13.1897541744511,0,0.0931262419408054,-16.9626433383102,0
"s_g_TT",1.2672563446498,0.048530464739411,26.1125944590569,0,0.0379301532495281,33.4102616541779,0
"m_g_WT",-2.89653583817895,0.122086310929677,-23.72531216745,0,0.0946354780850925,-30.6072933406063,0
"s_g_WT",0.605594081695071,0.0541308887532383,11.1875880046186,0,0.0397005188928947,15.2540596088646,0
"m_g_IN",-1.56863956325824,0.0669360904362136,-23.4348847241544,0,0.0488088981905695,-32.1383932317759,0
"s_g_IN",1.89682413512295,0.064991817091231,29.1855839706762,0,0.0618085264913991,30.688713075645,0
"bt_age_60up",-0.214028776663934,0.115418941800914,-1.85436439915653,0.0636870444787254,0.0755466567930498,-2.83306748106985,0.0046103652226166
"bw_age_60up",-0.345192655982768,0.216256034292674,-1.59622207589175,0.110439220524332,0.147500240898151,-2.34028537093118,0.0192690102091042
"bt_race_oth",-0.423319392183245,0.100634876639698,-4.20648791272286,2.59369949040522e-05,0.0837682281301017,-5.05346002455467,4.33877161309937e-07
"bw_race_oth",-0.1767031687761,0.13187473842085,-1.33993189971069,0.18026748603169,0.0851818845166239,-2.07442192408428,0.038040142921409
"bt_hh_child",0.16900573949823,0.0337880856041193,5.00193297360492,5.67583253729964e-07,0.023794755471261,7.10264661901456,1.22390986234677e-12
"bt_inc_0050",-0.153557783068394,0.0803108664627043,-1.91204241507848,0.0558707539390482,0.0635482176387475,-2.4163979537762,0.0156749192749535
"bt_inc_100p",-0.232208676491449,0.102540288345823,-2.26456040096467,0.0235396692620877,0.0814056685249848,-2.85248780212621,0.00433784772118262
"bw_pt_subur",-0.285302088541692,0.129576369565814,-2.20180646747309,0.0276789820465033,0.0825540602246737,-3.45594253953389,0.000548372206240488
"bt_pt_subsu",0.189365490850706,0.111601227414873,1.69680473268227,0.089733583703457,0.0922716879409822,2.05225996268569,0.0401444047916351
"bt_pt_rural",-0.247722633562031,0.103660544258962,-2.38974853289576,0.0168599122456701,0.0700372168161499,-3.53701424504505,0.000404677838691248
"bw_pt_rural",-0.583469298199855,0.112808965100658,-5.17218908691549,2.31367274672323e-07,0.0658407670068017,-8.86182413609458,0
"bt_cmode_at",-2.57121273748138,0.581309544544282,-4.42313869024306,9.7277250548089e-06,0.274501854672887,-9.36683193104613,0
"bw_cmode_at",-2.78771082041921,1.55283423491931,-1.79524044339741,0.072615399355809,0.818324118044825,-3.40660962929912,0.000657751290243702
"bt_sat_work",0.146268212839473,0.0488483031902888,2.99433559175402,0.0027504324099048,0.0359908178016336,4.06404249121657,4.82300398849667e-05
"bt_sat_comm",-0.234311431638161,0.0382759705598878,-6.12163266432526,9.26213550300758e-10,0.0324586126716934,-7.21877530651518,5.24469356832924e-13
"bw_sat_comm",-0.221903345511596,0.0474164217260849,-4.67988383420173,2.87037505697363e-06,0.0303572894274271,-7.30972197112935,2.67785793539588e-13
"bt_TTPD",-0.00537226237013361,0.00139034282852662,-3.8639839469138,0.000111552555929872,0.00116125783830031,-4.62624422668853,3.72356196320922e-06
"s_TTWT",1.27003886546624,0.0661092395242555,19.2112157787,0,0.0374785225870509,33.8871112786352,0
