"ID","ResponseId","DurationSec","AGE1","AGE2_18_29","AGE2_30_44","AGE2_45_59","AGE2_60_UP","GEND_Male","GEND_Female","RACE_White","RACE_Other","EDUC_L_HS","EDUC_Bach","EDUC_Mast","HHADULTS","HHKIDS","HHWORKERS","HHINC_000_050","HHINC_050_100","HHINC_100__UP","PLACETYPE_Urban","PLACETYPE_Sub_Urban","PLACETYPE_Suburban","PLACETYPE_Rural_all","WDAYS","CDAYS","COMMUTE_YesCurrently","COMMUTE_NoUsedTo","MODE_AutoD","MODE_AutoP","MODE_Transit","MODE_Walk","MODE_Bike","PARKCOST_Yes","PARKCOST_No","TOLLCOST_Yes","TOLLCOST_No","TIMEDEP_Morning","TIMEDEP_AfterEveNight","FLEXWORK_Yes","FLEXWORK_No","FLEXINC_Yes","FLEXINC_No","PRIMWORK_Yes","PRIMWORK_No","IMP_TT","IMP_TC","IMP_WT","IMP_IN","SAT_WORK","SAT_COMM","ENJOYWC_Work","ENJOYWC_Comm","IDEALTT_00___","IDEALTT_01_05","IDEALTT_06_15","IDEALTT_15_UP","TTPD","TCPD","WTPD","INPD","name","value","choice","TT_C","TC_C","WT_C","IN_C","TT_A","TC_A","WT_A","IN_A","TT_B","TC_B","WT_B","IN_B"
1,"R_2PwlzfgyqqibVQ6",625,71,0,0,0,1,1,0,0,1,0,0,1,2,0,2,0,0,1,0,0,1,0,5,5,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,-1,2,1,1,1,0,1,0,0,0,1,0,50,18.45,510,135,"M1Q1","C",1,50,18.45,510,135,65,22.14,530,137.65,50,18.45,490,129.71
1,"R_2PwlzfgyqqibVQ6",625,71,0,0,0,1,1,0,0,1,0,0,1,2,0,2,0,0,1,0,0,1,0,5,5,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,-1,2,1,1,1,0,1,0,0,0,1,0,50,18.45,510,135,"M1Q2","A",2,50,18.45,510,135,60,11.07,530,140.29,60,22.14,490,137.65
1,"R_2PwlzfgyqqibVQ6",625,71,0,0,0,1,1,0,0,1,0,0,1,2,0,2,0,0,1,0,0,1,0,5,5,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,-1,2,1,1,1,0,1,0,0,0,1,0,50,18.45,510,135,"M1Q3","C",1,50,18.45,510,135,40,14.76,490,129.71,40,22.14,530,135
1,"R_2PwlzfgyqqibVQ6",625,71,0,0,0,1,1,0,0,1,0,0,1,2,0,2,0,0,1,0,0,1,0,5,5,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,-1,2,1,1,1,0,1,0,0,0,1,0,50,18.45,510,135,"M1Q4","C",1,50,18.45,510,135,35,22.14,520,132.35,60,14.76,490,132.35
1,"R_2PwlzfgyqqibVQ6",625,71,0,0,0,1,1,0,0,1,0,0,1,2,0,2,0,0,1,0,0,1,0,5,5,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,-1,2,1,1,1,0,1,0,0,0,1,0,50,18.45,510,135,"M1Q5","B",3,50,18.45,510,135,60,25.83,500,135,35,11.07,510,132.35
1,"R_2PwlzfgyqqibVQ6",625,71,0,0,0,1,1,0,0,1,0,0,1,2,0,2,0,0,1,0,0,1,0,5,5,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,-1,2,1,1,1,0,1,0,0,0,1,0,50,18.45,510,135,"M1Q6","C",1,50,18.45,510,135,40,18.45,510,129.71,65,22.14,530,137.65
1,"R_2PwlzfgyqqibVQ6",625,71,0,0,0,1,1,0,0,1,0,0,1,2,0,2,0,0,1,0,0,1,0,5,5,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,-1,2,1,1,1,0,1,0,0,0,1,0,50,18.45,510,135,"M1Q7","A",2,50,18.45,510,135,60,11.07,510,140.29,35,25.83,520,140.29
1,"R_2PwlzfgyqqibVQ6",625,71,0,0,0,1,1,0,0,1,0,0,1,2,0,2,0,0,1,0,0,1,0,5,5,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,-1,2,1,1,1,0,1,0,0,0,1,0,50,18.45,510,135,"M1Q8","B",3,50,18.45,510,135,35,18.45,490,132.35,65,14.76,510,137.65
1,"R_2PwlzfgyqqibVQ6",625,71,0,0,0,1,1,0,0,1,0,0,1,2,0,2,0,0,1,0,0,1,0,5,5,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,-1,2,1,1,1,0,1,0,0,0,1,0,50,18.45,510,135,"M1Q9","C",1,50,18.45,510,135,50,25.83,500,137.65,40,11.07,520,135
1,"R_2PwlzfgyqqibVQ6",625,71,0,0,0,1,1,0,0,1,0,0,1,2,0,2,0,0,1,0,0,1,0,5,5,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,-1,2,1,1,1,0,1,0,0,0,1,0,50,18.45,510,135,"M1Q10","A",2,50,18.45,510,135,50,11.07,530,140.29,60,25.83,500,140.29
2,"R_1j9rufBPNM5j1xV",444,43,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,5,5,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,NA,NA,1,0,-1,0,-1,2,1,1,1,0,0,0,1,0,39,5,480,400,"M1Q1","B",3,39,5,480,400,50.7,6,495.6,406.5,39,5,464.4,387
2,"R_1j9rufBPNM5j1xV",444,43,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,5,5,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,NA,NA,1,0,-1,0,-1,2,1,1,1,0,0,0,1,0,39,5,480,400,"M1Q2","C",1,39,5,480,400,46.8,3,495.6,413,46.8,6,464.4,406.5
2,"R_1j9rufBPNM5j1xV",444,43,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,5,5,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,NA,NA,1,0,-1,0,-1,2,1,1,1,0,0,0,1,0,39,5,480,400,"M1Q3","A",2,39,5,480,400,31.2,4,464.4,387,31.2,6,495.6,400
2,"R_1j9rufBPNM5j1xV",444,43,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,5,5,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,NA,NA,1,0,-1,0,-1,2,1,1,1,0,0,0,1,0,39,5,480,400,"M1Q4","A",2,39,5,480,400,27.3,6,487.8,393.5,46.8,4,464.4,393.5
2,"R_1j9rufBPNM5j1xV",444,43,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,5,5,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,NA,NA,1,0,-1,0,-1,2,1,1,1,0,0,0,1,0,39,5,480,400,"M1Q5","B",3,39,5,480,400,46.8,7,472.2,400,27.3,3,480,393.5
2,"R_1j9rufBPNM5j1xV",444,43,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,5,5,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,NA,NA,1,0,-1,0,-1,2,1,1,1,0,0,0,1,0,39,5,480,400,"M1Q6","A",2,39,5,480,400,31.2,5,480,387,50.7,6,495.6,406.5
2,"R_1j9rufBPNM5j1xV",444,43,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,5,5,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,NA,NA,1,0,-1,0,-1,2,1,1,1,0,0,0,1,0,39,5,480,400,"M1Q7","B",3,39,5,480,400,46.8,3,480,413,27.3,7,487.8,413
2,"R_1j9rufBPNM5j1xV",444,43,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,5,5,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,NA,NA,1,0,-1,0,-1,2,1,1,1,0,0,0,1,0,39,5,480,400,"M1Q8","A",2,39,5,480,400,27.3,5,464.4,393.5,50.7,4,480,406.5
2,"R_1j9rufBPNM5j1xV",444,43,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,5,5,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,NA,NA,1,0,-1,0,-1,2,1,1,1,0,0,0,1,0,39,5,480,400,"M1Q9","A",2,39,5,480,400,39,7,472.2,406.5,31.2,3,487.8,400
2,"R_1j9rufBPNM5j1xV",444,43,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,5,5,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,NA,NA,1,0,-1,0,-1,2,1,1,1,0,0,0,1,0,39,5,480,400,"M1Q10","A",2,39,5,480,400,39,3,495.6,413,46.8,7,472.2,413
3,"R_3pmbuEWd3cwf0Y4",330,37,0,1,0,0,0,1,1,0,0,1,0,2,0,2,0,1,0,0,0,1,0,6,6,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,NA,1,1,1,2,1,0,0,0,1,0,20,0,420,66.67,"M2Q1","C",1,20,0,420,66.67,26,0,420,67.3,20,0,428,67.94
3,"R_3pmbuEWd3cwf0Y4",330,37,0,1,0,0,0,1,1,0,0,1,0,2,0,2,0,1,0,0,0,1,0,6,6,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,NA,1,1,1,2,1,0,0,0,1,0,20,0,420,66.67,"M2Q2","C",1,20,0,420,66.67,16,0,428,66.67,16,0,412,66.04
3,"R_3pmbuEWd3cwf0Y4",330,37,0,1,0,0,0,1,1,0,0,1,0,2,0,2,0,1,0,0,0,1,0,6,6,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,NA,1,1,1,2,1,0,0,0,1,0,20,0,420,66.67,"M2Q3","A",2,20,0,420,66.67,14,0,412,66.04,24,0,428,67.94
3,"R_3pmbuEWd3cwf0Y4",330,37,0,1,0,0,0,1,1,0,0,1,0,2,0,2,0,1,0,0,0,1,0,6,6,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,NA,1,1,1,2,1,0,0,0,1,0,20,0,420,66.67,"M2Q4","C",1,20,0,420,66.67,26,0,420,67.3,26,0,416,66.67
3,"R_3pmbuEWd3cwf0Y4",330,37,0,1,0,0,0,1,1,0,0,1,0,2,0,2,0,1,0,0,0,1,0,6,6,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,NA,1,1,1,2,1,0,0,0,1,0,20,0,420,66.67,"M2Q5","C",1,20,0,420,66.67,14,0,416,65.4,16,0,428,66.67
3,"R_3pmbuEWd3cwf0Y4",330,37,0,1,0,0,0,1,1,0,0,1,0,2,0,2,0,1,0,0,0,1,0,6,6,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,NA,1,1,1,2,1,0,0,0,1,0,20,0,420,66.67,"M2Q6","C",1,20,0,420,66.67,16,0,424,66.67,24,0,420,67.3
3,"R_3pmbuEWd3cwf0Y4",330,37,0,1,0,0,0,1,1,0,0,1,0,2,0,2,0,1,0,0,0,1,0,6,6,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,NA,1,1,1,2,1,0,0,0,1,0,20,0,420,66.67,"M2Q7","C",1,20,0,420,66.67,24,0,412,66.04,14,0,420,65.4
3,"R_3pmbuEWd3cwf0Y4",330,37,0,1,0,0,0,1,1,0,0,1,0,2,0,2,0,1,0,0,0,1,0,6,6,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,NA,1,1,1,2,1,0,0,0,1,0,20,0,420,66.67,"M2Q8","C",1,20,0,420,66.67,20,0,412,65.4,26,0,424,67.3
3,"R_3pmbuEWd3cwf0Y4",330,37,0,1,0,0,0,1,1,0,0,1,0,2,0,2,0,1,0,0,0,1,0,6,6,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,NA,1,1,1,2,1,0,0,0,1,0,20,0,420,66.67,"M2Q9","B",3,20,0,420,66.67,24,0,416,67.94,14,0,424,67.94
3,"R_3pmbuEWd3cwf0Y4",330,37,0,1,0,0,0,1,1,0,0,1,0,2,0,2,0,1,0,0,0,1,0,6,6,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,NA,1,1,1,2,1,0,0,0,1,0,20,0,420,66.67,"M2Q10","C",1,20,0,420,66.67,14,0,424,66.04,20,0,412,66.04
4,"R_1Qo6xP4HD1j0TGW",972,40,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,5,5,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,NA,NA,1,0,2,2,1,1,1,1,1,0,0,0,1,0,20,4,480,200,"M1Q1","C",1,20,4,480,200,26,4.8,488,201.67,20,4,472,196.67
