"ID","ResponseId","DurationSec","AGE1","AGE2_18_29","AGE2_30_44","AGE2_45_59","AGE2_60_UP","GEND_Male","GEND_Female","RACE_White","RACE_Other","EDUC_L_HS","EDUC_Bach","EDUC_Mast","HHADULTS","HHKIDS","HHWORKERS","HHINC_000_050","HHINC_050_100","HHINC_100__UP","PLACETYPE_Urban","PLACETYPE_Sub_Urban","PLACETYPE_Suburban","PLACETYPE_Rural_all","WDAYS","CDAYS","COMMUTE_YesCurrently","COMMUTE_NoUsedTo","MODE_AutoD","MODE_AutoP","MODE_Transit","MODE_Walk","MODE_Bike","PARKCOST_Yes","PARKCOST_No","TOLLCOST_Yes","TOLLCOST_No","TIMEDEP_Morning","TIMEDEP_AfterEveNight","FLEXWORK_Yes","FLEXWORK_No","FLEXINC_Yes","FLEXINC_No","PRIMWORK_Yes","PRIMWORK_No","IMP_TT","IMP_TC","IMP_WT","IMP_IN","SAT_WORK","SAT_COMM","ENJOYWC_Work","ENJOYWC_Comm","IDEALTT_00___","IDEALTT_01_05","IDEALTT_06_15","IDEALTT_15_UP","M1Q1","M1Q2","M1Q3","M1Q4","M1Q5","M1Q6","M1Q7","M1Q8","M1Q9","M1Q10","M2Q1","M2Q2","M2Q3","M2Q4","M2Q5","M2Q6","M2Q7","M2Q8","M2Q9","M2Q10","M3Q1","M3Q2","M3Q3","M3Q4","M3Q5","M3Q6","M3Q7","M3Q8","M3Q9","M3Q10","M4Q1","M4Q2","M4Q3","M4Q4","M4Q5","M4Q6","M4Q7","M4Q8","M4Q9","M4Q10","M5Q1","M5Q2","M5Q3","M5Q4","M5Q5","M5Q6","M5Q7","M5Q8","M5Q9","M5Q10","TTPD","TCPD","WTPD","INPD","MD12TT1","MD12TT2","MD12TT3","MD12TT4","MD12TT5","MD345TT1","MD345TT2","MD345TT3","MD345TT4","MD345TT5","MD12WT1","MD12WT2","MD12WT3","MD12WT4","MD12WT5","MD345WT1","MD345WT2","MD345WT3","MD345WT4","MD345WT5","MD12INC1","MD12INC2","MD12INC3","MD12INC4","MD12INC5","MD345INC1","MD345INC2","MD345INC3","MD345INC4","MD345INC5","M15TC1","M15TC2","M15TC3","M15TC4","M15TC5","M3TC1","M3TC2","M3TC3","M3TC4","M3TC5","MD12WH1","MD12WH2","MD12WH3","MD12WH4","MD12WH5","MD345WH1","MD345WH2","MD345WH3","MD345WH4","MD345WH5","MD12WM1","MD12WM2","MD12WM3","MD12WM4","MD12WM5","MD345WM1","MD345WM2","MD345WM3","MD345WM4","MD345WM5"
1,"R_2PwlzfgyqqibVQ6",625,71,0,0,0,1,1,0,0,1,0,0,1,2,0,2,0,0,1,0,0,1,0,5,5,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,-1,2,1,1,1,0,1,0,0,0,1,0,"C","A","C","C","B","C","A","B","C","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,18.45,510,135,35,40,50,60,65,35,40,50,60,65,490,500,510,520,530,490,500,510,520,530,129.71,132.35,135,137.65,140.29,129.71,132.35,135,137.65,140.29,11.07,14.76,18.45,22.14,25.83,15.95,16.95,18.45,19.95,20.95,8,8,8,8,8,8,8,8,8,8,10,20,30,40,50,10,20,30,40,50
2,"R_1j9rufBPNM5j1xV",444,43,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,5,5,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,NA,NA,1,0,-1,0,-1,2,1,1,1,0,0,0,1,0,"B","C","A","A","B","A","B","A","A","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,5,480,400,27.3,31.2,39,46.8,50.7,24,29,39,49,54,464.4,472.2,480,487.8,495.6,460,470,480,490,500,387,393.5,400,406.5,413,383.33,391.67,400,408.33,416.67,3,4,5,6,7,2.5,3.5,5,6.5,7.5,7,7,8,8,8,7,7,8,8,8,44,52,0,8,16,40,50,0,10,20
3,"R_3pmbuEWd3cwf0Y4",330,37,0,1,0,0,0,1,1,0,0,1,0,2,0,2,0,1,0,0,0,1,0,6,6,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,NA,1,1,1,2,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","C","A","C","C","C","C","C","B","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0,420,66.67,14,16,20,24,26,5,10,20,30,35,412,416,420,424,428,400,410,420,430,440,65.4,66.04,66.67,67.3,67.94,63.5,65.08,66.67,68.26,69.84,0,0,0,0,0,-2.5,-1.5,0,1.5,2.5,6,6,7,7,7,6,6,7,7,7,52,56,0,4,8,40,50,0,10,20
4,"R_1Qo6xP4HD1j0TGW",972,40,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,5,5,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,NA,NA,1,0,2,2,1,1,1,1,1,0,0,0,1,0,"C","C","C","C","C","A","C","C","A","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,4,480,200,14,16,20,24,26,5,10,20,30,35,472,476,480,484,488,460,470,480,490,500,196.67,198.33,200,201.67,203.33,191.67,195.83,200,204.17,208.33,2.4,3.2,4,4.8,5.6,1.5,2.5,4,5.5,6.5,7,7,8,8,8,7,7,8,8,8,52,56,0,4,8,40,50,0,10,20
5,"R_3fOI37GtIPgDbV2",522,35,0,1,0,0,0,1,0,1,0,0,1,1,2,1,0,0,1,1,0,0,0,5,5,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,NA,NA,1,0,-1,-1,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A","A","A","B","B","B","A","C","A","B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,30,560,150,49.7,56.8,71,85.2,92.3,56,61,71,81,86,531.6,545.8,560,574.2,588.4,540,550,560,570,580,142.39,146.2,150,153.8,157.61,144.64,147.32,150,152.68,155.36,18,24,30,36,42,27.5,28.5,30,31.5,32.5,8,9,9,9,9,9,9,9,9,9,52,6,20,34,48,0,10,20,30,40
6,"R_3qVaZDWW6oACRZC",381,41,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,5,5,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,NA,NA,1,0,-1,-1,0,1,2,1,1,0,0,0,0,1,"B","C","A","B","B","A","A","A","B","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,4,450,110,32.2,36.8,46,55.2,59.8,31,36,46,56,61,431.6,440.8,450,459.2,468.4,430,440,450,460,470,105.5,107.75,110,112.25,114.5,105.11,107.56,110,112.44,114.89,2.4,3.2,4,4.8,5.6,1.5,2.5,4,5.5,6.5,7,7,7,7,7,7,7,7,7,7,12,21,30,39,48,10,20,30,40,50
7,"R_1LtaMtDTgfWNQOv",586,24,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,5,5,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,-1,0,1,2,2,0,1,0,0,1,0,0,"C","A","C","C","C","C","C","C","C","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,8,480,80,14,16,20,24,26,5,10,20,30,35,472,476,480,484,488,460,470,480,490,500,78.67,79.33,80,80.67,81.33,76.67,78.33,80,81.67,83.33,4.8,6.4,8,9.6,11.2,5.5,6.5,8,9.5,10.5,7,7,8,8,8,7,7,8,8,8,52,56,0,4,8,40,50,0,10,20
8,"R_1Fy8n8mdH0cEqe6",447,61,0,0,0,1,0,1,0,1,0,0,1,2,0,0,1,0,0,0,0,0,1,5,5,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,NA,NA,1,0,1,1,1,1,1,2,1,0,0,1,0,0,"C","C","C","C","C","C","C","C","C","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,1.5,240,70,21,24,30,36,39,15,20,30,40,45,228,234,240,246,252,220,230,240,250,260,66.5,68.25,70,71.75,73.5,64.17,67.08,70,72.92,75.83,0.9,1.2,1.5,1.8,2.1,-1,0,1.5,3,4,3,3,4,4,4,3,3,4,4,4,48,54,0,6,12,40,50,0,10,20
10,"R_1kZj93iwdoEjJFi",1272,68,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,5,5,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,NA,NA,1,0,1,-2,-1,0,1,2,1,0,0,0,1,0,"C","C","A","A","B","A","C","A","B","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,0.75,630,175,15.4,17.6,22,26.4,28.6,7,12,22,32,37,621.2,625.6,630,634.4,638.8,610,620,630,640,650,172.56,173.78,175,176.22,177.44,169.44,172.22,175,177.78,180.56,0.45,0.6,0.75,0.9,1.05,-1.75,-0.75,0.75,2.25,3.25,10,10,10,10,10,10,10,10,10,10,21,26,30,34,39,10,20,30,40,50
11,"R_2uQHauLitffwmCO",958,45,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,5,5,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,2,2,1,2,2,2,1,0,0,1,0,0,"C","A","A","C","C","A","A","A","C","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,15,390,45,21,24,30,36,39,15,20,30,40,45,378,384,390,396,402,370,380,390,400,410,43.62,44.31,45,45.69,46.38,42.69,43.85,45,46.15,47.31,9,12,15,18,21,12.5,13.5,15,16.5,17.5,6,6,6,6,6,6,6,6,6,6,18,24,30,36,42,10,20,30,40,50
